gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Vrai_Churn,Prediction_IA_Churn
Male,0,True,True,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.5,255.5,False,0
Female,0,True,False,69,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),85.4,5869.4,False,0
Male,0,True,False,12,True,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,True,Electronic check,84.6,959.9,False,1
Male,1,True,False,61,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,True,Mailed check,98.3,6066.55,False,0
Male,0,True,True,46,True,No,DSL,Yes,No,Yes,Yes,No,No,One year,False,Mailed check,56.9,2560.1,False,0
Male,1,True,False,49,True,No,DSL,No,Yes,No,No,No,No,Two year,False,Mailed check,49.8,2398.4,False,0
Female,0,False,False,61,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,False,Credit card (automatic),43.7,2696.55,False,0
Male,0,True,False,60,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,True,Bank transfer (automatic),109.45,6572.85,False,0
Female,0,False,False,68,False,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),64.35,4539.6,False,0
Female,0,True,True,13,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,False,Electronic check,55.95,734.35,True,1
Female,0,True,True,22,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,80.15,1790.65,False,1
Male,0,False,True,23,True,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,True,Bank transfer (automatic),55.3,1284.2,False,0
Male,0,True,True,15,False,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),30.2,469.65,False,0
Male,1,True,True,8,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Credit card (automatic),80.45,583.45,True,1
Female,0,False,False,42,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),20.75,844.45,False,0
Male,0,False,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.75,44.2,False,0
Female,1,False,False,70,True,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,True,Bank transfer (automatic),75.5,5212.65,False,0
Male,0,False,False,51,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,False,Bank transfer (automatic),81.0,4085.75,False,0
Female,0,True,True,64,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Mailed check,90.6,5817.45,False,0
Male,0,True,True,24,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),24.1,587.4,False,0
Male,0,True,False,65,True,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,False,Electronic check,89.75,5769.6,True,0
Male,1,False,False,24,True,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,False,Credit card (automatic),54.8,1291.3,False,0
Male,0,True,True,15,True,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,True,Mailed check,69.5,1071.4,False,0
Female,0,True,True,38,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.95,756.4,False,0
Female,0,True,False,61,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,24.4,1417.9,False,0
Female,0,True,True,51,True,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,True,Credit card (automatic),69.75,3562.5,False,0
Male,1,True,False,27,False,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,False,Bank transfer (automatic),36.5,1032,True,0
Male,0,True,False,61,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,105.55,6281.45,True,1
Male,0,True,False,67,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,False,Credit card (automatic),70.9,4677.1,False,0
Male,0,True,False,23,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,99.25,2186.4,True,1
Female,1,False,False,64,True,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,False,Credit card (automatic),74.65,4869.35,False,0
Female,0,False,False,43,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),115.05,4895.1,False,0
Female,0,False,False,62,True,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,True,Electronic check,92.05,5755.8,False,0
Female,0,False,False,11,False,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,True,Credit card (automatic),40.4,422.6,False,0
Female,0,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.9,20.9,True,1
Male,1,False,False,55,False,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),50.05,2743.45,False,0
Male,1,True,False,57,False,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,44.85,2572.95,True,0
Female,0,True,True,62,True,No,DSL,Yes,No,Yes,No,No,No,One year,False,Credit card (automatic),54.75,3425.35,False,0
Male,0,False,False,62,True,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,False,Electronic check,102.0,6529.25,True,0
Female,0,False,False,34,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),73.95,2524.45,True,1
Female,0,True,True,69,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.4,1346.2,False,0
Male,0,True,False,2,True,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,True,Electronic check,91.45,171.45,False,1
Female,0,True,False,71,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),24.45,1681.6,False,0
Male,0,False,False,21,True,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,False,Bank transfer (automatic),65.35,1424.4,False,0
Female,0,True,True,35,True,No,DSL,Yes,No,No,Yes,No,No,One year,True,Bank transfer (automatic),54.95,1916,False,0
Male,0,False,False,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,44.35,81.25,True,1
Male,0,True,False,36,False,No phone service,DSL,Yes,No,Yes,No,No,No,One year,False,Mailed check,35.35,1317.95,False,0
Male,1,True,False,45,True,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,False,Credit card (automatic),75.15,3480.35,False,0
Male,0,True,True,53,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),20.2,1068.15,False,0
Female,0,False,False,37,False,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,False,Credit card (automatic),28.6,973.55,True,0
Female,0,True,True,28,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,49.9,1410.25,False,0
Male,0,True,True,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,70.65,70.65,True,1
Female,0,True,True,59,True,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,True,Mailed check,76.45,4519.5,False,0
Male,0,True,True,43,True,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,True,Credit card (automatic),71.9,3173.35,False,0
Male,1,True,False,69,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),84.9,5785.65,False,0
Female,0,True,False,42,False,No phone service,DSL,No,Yes,No,Yes,No,No,One year,False,Mailed check,33.55,1445.3,True,0
Male,0,False,False,67,True,No,DSL,Yes,No,Yes,No,No,Yes,Two year,False,Bank transfer (automatic),65.55,4361.55,False,0
Male,0,True,True,68,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,25.75,1686.15,False,0
Male,1,True,False,64,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.65,1740.8,False,0
Male,0,True,False,37,True,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,True,Electronic check,90.35,3419.3,False,0
Male,0,True,True,9,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.6,197.4,False,0
Male,0,True,False,22,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),94.7,1914.9,True,1
Female,0,False,False,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,45.25,74.2,False,1
Male,0,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.55,19.55,False,0
Female,0,False,False,10,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Bank transfer (automatic),80.05,830.7,True,1
Female,0,True,True,41,True,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,False,Credit card (automatic),79.9,3326.2,True,0
Male,0,True,False,54,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),109.75,6110.2,True,0
Male,1,False,False,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,79.1,79.1,True,1
Female,1,True,False,11,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Bank transfer (automatic),104.05,1133.65,True,1
Female,0,False,False,12,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,96.0,1062.1,True,1
Male,0,False,False,50,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,False,Credit card (automatic),114.35,5791.1,False,0
Male,0,False,False,71,True,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,False,Credit card (automatic),97.65,6687.85,False,0
Female,0,True,True,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,76.35,True,0
Female,0,True,False,51,True,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,True,Credit card (automatic),78.65,3950.85,False,0
Male,0,False,False,57,True,No,DSL,No,Yes,No,Yes,No,No,One year,True,Mailed check,54.65,3134.7,False,0
Female,0,False,False,6,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Credit card (automatic),70.55,433.95,False,1
Male,0,True,True,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Electronic check,20.35,1354.4,False,0
Female,0,False,False,5,True,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,False,Electronic check,54.2,308.25,True,1
Female,0,True,True,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Mailed check,20.0,196.35,False,0
Male,0,True,True,71,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,False,Bank transfer (automatic),100.55,7113.75,False,0
Female,0,True,True,29,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,20.0,540.05,False,0
Male,0,False,False,24,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,True,Mailed check,49.7,1218.25,False,0
Female,0,True,False,1,True,No,DSL,No,No,No,No,Yes,No,Month-to-month,False,Mailed check,55.2,55.2,True,1
Female,0,True,True,3,False,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,True,Mailed check,31.0,95.05,True,0
Male,1,True,True,66,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,116.25,7862.25,False,0
Male,0,False,False,35,True,No,DSL,Yes,Yes,Yes,No,No,No,One year,False,Mailed check,61.2,2021.2,False,0
Male,0,True,True,70,True,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,84.1,5979.7,False,0
Male,0,False,False,1,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,79.15,79.15,True,1
Female,0,False,False,28,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,89.95,2625.55,True,1
Female,0,True,False,68,True,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,False,Credit card (automatic),90.2,6297.65,False,0
Female,1,False,False,1,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.05,85.05,True,1
Female,0,True,False,2,True,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,True,Mailed check,62.15,113.1,False,0
Male,1,True,False,34,True,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,True,Credit card (automatic),85.2,2874.45,False,1
Female,0,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),69.7,69.7,True,1
Male,0,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,71.55,71.55,True,1
Male,0,True,True,51,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,False,Credit card (automatic),110.05,5686.4,False,1
Male,0,True,True,71,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),90.3,6287.3,False,0
Male,0,True,False,59,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Electronic check,113.75,6561.25,False,0
Female,0,False,False,1,True,No,DSL,No,No,Yes,No,No,No,Month-to-month,True,Mailed check,50.45,50.45,True,1
Female,0,False,True,50,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.15,970.85,False,0
Male,1,False,False,1,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,73.65,73.65,True,1
Female,0,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.6,70.6,True,1
Female,0,True,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.85,52,False,0
Female,0,True,True,43,True,No,DSL,No,No,No,No,Yes,No,Month-to-month,False,Electronic check,56.15,2499.3,True,0
Female,0,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.3,45.3,True,1
Female,0,True,False,72,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,True,Bank transfer (automatic),98.2,7015.9,False,0
Female,0,False,False,62,False,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,True,Credit card (automatic),43.6,2748.7,False,0
Female,0,False,False,2,False,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,False,Electronic check,51.4,96.8,False,1
Female,0,False,False,62,True,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),84.5,5193.2,False,0
Female,0,False,False,39,True,No,DSL,Yes,No,No,No,No,No,One year,True,Electronic check,47.85,1886.4,False,0
Male,0,True,False,14,True,No,DSL,No,No,Yes,No,No,No,Month-to-month,False,Credit card (automatic),50.2,668.85,False,0
Male,0,True,True,67,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,True,Credit card (automatic),69.35,4653.25,False,0
Female,0,False,False,37,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Electronic check,19.8,695.05,False,0
Female,0,True,True,71,True,No,Fiber optic,No,No,Yes,No,No,No,Two year,False,Electronic check,76.05,5436.45,False,0
Male,0,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.95,19.95,True,1
